# inner_x, inner_y, inner_vel, center_x, center_y, center_vel, outer_x, outer_y, outer_vel, race_x, race_y, race_vel
-0.142780,0.531144,7.998918,0.000000,-0.000000,7.998921,0.142780,-0.531144,7.998924,-0.044081,-0.849163,8.000000
-0.471113,0.442882,7.999045,-0.331552,-0.089127,7.999046,-0.192072,-0.621158,7.999048,-0.237225,-0.900921,8.000000
-0.799447,0.354625,7.999138,-0.663105,-0.178250,7.999137,-0.526925,-0.711168,7.999137,-0.623512,-1.004444,8.000000
-1.127781,0.266370,7.999199,-0.994659,-0.267370,7.999196,-0.861778,-0.801174,7.999194,-1.009796,-1.107978,8.000000
-1.456117,0.178117,7.999234,-1.326214,-0.356488,7.999229,-1.196632,-0.891179,7.999224,-1.202937,-1.159750,8.000000
-1.784452,0.089865,7.999234,-1.657768,-0.445605,7.999226,-1.531487,-0.981184,7.999219,-1.589216,-1.263304,8.000000
-2.112787,0.001612,7.999226,-1.989323,-0.534724,7.999219,-1.866341,-1.071189,7.999213,-1.975490,-1.366872,8.000000
-2.441122,-0.086642,7.999195,-2.320877,-0.623844,7.999189,-2.201194,-1.161196,7.999182,-2.168626,-1.418663,8.000000
-2.769456,-0.174900,7.999139,-2.652430,-0.712967,7.999133,-2.536047,-1.251206,7.999126,-2.554894,-1.522257,8.000000
-3.097788,-0.263161,7.999053,-2.983982,-0.802094,7.999046,-2.870899,-1.341221,7.999038,-2.941157,-1.625870,8.000000
-3.426120,-0.351427,7.998938,-3.315533,-0.891226,7.998931,-3.205749,-1.431241,7.998923,-3.134286,-1.677685,8.000000
-3.754450,-0.439699,7.998825,-3.647082,-0.980364,7.998819,-3.540598,-1.521266,7.998814,-3.520541,-1.781329,8.000000
-4.082779,-0.527976,7.998754,-3.978630,-1.069507,7.998752,-3.875445,-1.611297,7.998750,-3.906789,-1.884995,8.000000
-4.411106,-0.616258,7.998715,-4.310176,-1.158655,7.998714,-4.210291,-1.701333,7.998714,-4.293031,-1.988685,8.000000
-4.739432,-0.704545,7.998705,-4.641721,-1.247808,7.998709,-4.545135,-1.791374,7.998713,-4.486150,-2.040539,8.000000
-5.067757,-0.792837,7.998740,-4.973265,-1.336966,7.998746,-4.879978,-1.881420,7.998752,-4.872383,-2.144266,8.000000
-5.396080,-0.881133,7.998781,-5.304808,-1.426129,7.998787,-5.214820,-1.971471,7.998793,-5.258608,-2.248019,8.000000
-5.724402,-0.969434,7.998820,-5.636349,-1.515296,7.998827,-5.549661,-2.061527,7.998833,-5.451718,-2.299905,8.000000
-6.052723,-1.057739,7.998860,-5.967889,-1.604468,7.998866,-5.884500,-2.151587,7.998873,-5.837933,-2.403698,8.000000
-6.381043,-1.146048,7.998899,-6.299428,-1.693644,7.998907,-6.219338,-2.241651,7.998915,-6.224140,-2.507518,8.000000
-6.709362,-1.234361,7.998943,-6.630966,-1.782824,7.998952,-6.554175,-2.331719,7.998961,-6.417241,-2.559439,8.000000
-7.037680,-1.322678,7.998986,-6.962503,-1.872008,7.998993,-6.889012,-2.421791,7.999000,-6.803436,-2.663302,8.000000
